date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,snowfall_sum,month,year,season,rain_day,snow_day
2020-01-01,32.8,11.6,0.0,22.7,0.0,1,2020,Summer,False,False
2020-01-02,32.5,10.8,0.0,23.6,0.0,1,2020,Summer,False,False
2020-01-03,34.9,12.2,0.0,20.2,0.0,1,2020,Summer,False,False
2020-01-04,38.1,16.0,0.0,29.4,0.0,1,2020,Summer,False,False
2020-01-05,23.3,11.1,0.8,20.2,0.0,1,2020,Summer,False,False
2020-01-06,19.3,10.4,2.6,21.3,0.0,1,2020,Summer,True,False
2020-01-07,27.9,11.9,2.8,20.3,0.0,1,2020,Summer,True,False
2020-01-08,26.1,14.5,1.0,17.4,0.0,1,2020,Summer,False,False
2020-01-09,22.6,13.5,0.0,20.8,0.0,1,2020,Summer,False,False
2020-01-10,33.5,13.6,0.0,23.9,0.0,1,2020,Summer,False,False
2020-01-11,24.4,8.9,1.0,21.7,0.0,1,2020,Summer,False,False
2020-01-12,23.4,7.2,0.0,23.5,0.0,1,2020,Summer,False,False
2020-01-13,26.6,9.6,0.0,22.7,0.0,1,2020,Summer,False,False
2020-01-14,28.1,12.1,0.0,21.0,0.0,1,2020,Summer,False,False
2020-01-15,29.0,14.1,1.7,19.4,0.0,1,2020,Summer,True,False
2020-01-16,25.4,13.3,10.5,14.0,0.0,1,2020,Summer,True,False
2020-01-17,17.8,10.2,5.8,15.6,0.0,1,2020,Summer,True,False
2020-01-18,21.5,12.6,0.6,16.5,0.0,1,2020,Summer,False,False
2020-01-19,24.5,12.2,11.0,12.6,0.0,1,2020,Summer,True,False
2020-01-20,21.0,12.5,15.5,13.5,0.0,1,2020,Summer,True,False
2020-01-21,23.2,11.4,1.1,12.7,0.0,1,2020,Summer,True,False
2020-01-22,26.9,12.9,0.0,22.6,0.0,1,2020,Summer,False,False
2020-01-23,27.3,14.5,2.1,32.4,0.0,1,2020,Summer,True,False
2020-01-24,24.7,12.1,0.0,18.6,0.0,1,2020,Summer,False,False
2020-01-25,28.9,13.1,0.3,17.3,0.0,1,2020,Summer,False,False
2020-01-26,30.2,15.4,0.4,20.3,0.0,1,2020,Summer,False,False
2020-01-27,31.4,13.4,0.0,20.5,0.0,1,2020,Summer,False,False
2020-01-28,30.6,16.2,0.6,20.6,0.0,1,2020,Summer,False,False
2020-01-29,30.7,14.1,0.1,19.8,0.0,1,2020,Summer,False,False
2020-01-30,35.8,15.1,0.0,14.7,0.0,1,2020,Summer,False,False
2020-01-31,38.5,18.0,0.0,19.1,0.0,1,2020,Summer,False,False
2020-02-01,35.8,26.9,0.0,29.7,0.0,2,2020,Summer,False,False
2020-02-02,28.6,16.4,0.3,27.2,0.0,2,2020,Summer,False,False
2020-02-03,24.5,7.6,0.0,27.4,0.0,2,2020,Summer,False,False
2020-02-04,23.2,4.9,0.0,24.2,0.0,2,2020,Summer,False,False
2020-02-05,27.6,9.1,0.0,26.6,0.0,2,2020,Summer,False,False
2020-02-06,22.9,12.8,0.3,17.2,0.0,2,2020,Summer,False,False
2020-02-07,21.8,12.9,0.3,18.8,0.0,2,2020,Summer,False,False
2020-02-08,19.3,12.7,5.9,24.5,0.0,2,2020,Summer,True,False
2020-02-09,14.7,12.6,14.8,20.5,0.0,2,2020,Summer,True,False
2020-02-10,22.0,13.1,11.8,25.6,0.0,2,2020,Summer,True,False
2020-02-11,24.7,15.3,24.5,15.1,0.0,2,2020,Summer,True,False
